phulangsunguy	phulangsu/NPR+nguy/PAN
hankulkwa	hankulkwa/NPR
khemphyuthenun	khemphyuthe/NPR+ngun/PAU
sophok	sophok/NNC
ngolumseylul	ngolumsey/NNC+ngul/PCA
pongiko	pongi/VV+ko/ECS
ngissnguna	ngiss/VX+nguna/ECS
tangumngun	tangum/NPR+ngun/PAU
pohap	pohap/NNC
,	,/SCM
lokhesunun	lokhesu/NPR+ngun/PAU
naylimseylul	naylimsey/NNC+ngul/PCA
pongiko	pongi/VV+ko/ECS
ngissta	ngiss/VX+ta/EFN
.	./SFN
^EOS
cungsicenmwunkatulngun	cungsi/NNC+cenmwunka/NNC+tul/XSF+ngun/PAU
khosutaksicangngi	khosutak/NPR+sicang/NNC+ngi/PCA
cinancwu	cinancwu/NNC
cenkocemngul	cenkocem/NNC+ngul/PCA
kanghakey	kangha/VJ+key/ECS
ttwulhngun	ttwulh/VV+ngun/EAN
teyta	tey/NNX+ngeyta/PAD
nginalto	nginal/NNC+to/PAU
kaycangcho	kaycang/NNC+cho/NNC
280	280/NNU
phonginthulul	phonginthu/NNX+ngul/PCA
nemnun	nem/VV+nun/EAN
tung	tung/NNX
sicangngi	sicang/NNC+ngi/PCA
cenpancek	cenpan/NNC+cek/XSF
kangseycangnguy	kangseycang/NNC+nguy/PAN
mosupngul	mosup/NNC+ngul/PCA
pongiko	pongi/VV+ko/ECS
ngissnge	ngiss/VX+nge/ECS
sicangngoypwucokennguy	sicang/NNC+ngoypwu/NNC+coken/NNC+nguy/PAN
ngakhwaka	ngakhwa/NNC+ngi/PCA
nganilamyen	ngani/VJ+lamyen/ECS
300	300/NNU
senngey	sen/NNX+ngey/PAD
totalhal	total/NNC+ha/XSV+ngul/EAN
ttaykkaci	ttay/NNC+kkaci/PAU
tangpwunkan	tangpwunkan/NNC
sangsungseylul	sangsungsey/NNC+ngul/PCA
cisokhal	cisok/NNC+ha/XSV+ngul/EAN
kanungsengngi	kanungseng/NNC+ngi/PCA
nophtako	noph/VJ+ta/EFN+ko/PAD
nayta	nay/VV+ta/EFN
pwassta	po/VX+ngess/EPF+ta/EFN
.	./SFN
^EOS
kemchalngun	kemchal/NNC+ngun/PAU
tto	tto/ADV
ngintheneysngul	ngintheneys/NNC+ngul/PCA
ngingyonghan	ngingyong/NNC+ha/XSV+ngun/EAN
hwupoca	hwupoca/NNC
pipang	pipang/NNC
tung	tung/NNX
sincong	sincong/NNC
sangipe	sangipe/NNC
senkesapem	senke/NNC+sapem/NNC
cici	cici/NNC
,	,/SCM
pantay	pantay/NNC
tanchey	tanchey/NNC
kwusengngwenkan	kwusengngwen/NNC+kan/XSF
phoklyekhayngngwina	phoklyek/NNC+hayngngwi/NNC+ngina/PCJ
cocikphoklyekpaylul	cocik/NNC+phoklyekpay/NNC+ngul/PCA
tongngwenhan	tongngwen/NNC+ha/XSV+ngun/EAN
chengpwuphoklyek	chengpwu/NNC+phoklyek/NNC
tung	tung/NNX
kakcong	kakcong/NNC
senkephoklyeksapem	senke/NNC+phoklyek/NNC+sapem/NNC
tansokkongmwungwenngey	tansok/NNC+kongmwungwen/NNC+ngey/PAD
tayhanghanun	tayhang/NNC+ha/XSV+nun/EAN
kongkwenlyek	kongkwenlyek/NNC
tocensapem	tocen/NNC+sapem/NNC
tungto	tung/NNX+to/PAU
ngemtanhal	ngemtan/NNC+ha/XSV+ngul/EAN
pangchimngita	pangchim/NNC+ngi/CO+ta/EFN
.	./SFN
^EOS
thukhi	thukhi/ADV
cikem	cikem/NNC
,	,/SCM
cichengpyel	cicheng/NNC+pyel/XSF
senkesapem	senke/NNC+sapem/NNC
PC	PC/NFW
thongsin	thongsin/NNC
kemsaykpanngul	kemsaykpan/NNC+ngul/PCA
ngwunngyenghan	ngwunngyeng/NNC+ha/XSV+ngun/EAN
kyelkwa	kyelkwa/NNC
hwupoca	hwupoca/NNC
,	,/SCM
cengtang	cengtang/NNC
tungnguy	tung/NNX+nguy/PAN
hompheyngicilul	hompheyngici/NNC+ngul/PCA
ngingyonghay	ngingyong/NNC+ha/XSV+nge/ECS
kipwuhayngngwilo	kipwu/NNC+hayngngwi/NNC+ngulo/PAD
pol	po/VV+ngul/EAN
swu	swu/NNX
ngissnun	ngiss/VJ+nun/EAN
lingkhusangithulul	lingkhu/NNC+sangithu/NNC+ngul/PCA
ngyenkyelhay	ngyenkyel/NNC+ha/XSV+nge/ECS
cwukena	cwu/VX+kena/ECS
thalpepkwangkolul	thalpep/NNC+kwangko/NNC+ngul/PCA
hanun	ha/VV+nun/EAN
sincong	sincong/NNC
pemcoyngyuhyengngi	pemcoy/NNC+ngyuhyeng/NNC+ngi/PCA
palkyentway	palkyen/NNC+toy/XSV+nge/ECS
naysacwungngita	naysa/NNC+cwung/NNX+ngi/CO+ta/EFN
.	./SFN
^EOS
kemchalngun	kemchal/NNC+ngun/PAU
cicihoso	cici/NNC+hoso/NNC
,	,/SCM
huksayksencen	huksayk/NNC+sencen/NNC
tung	tung/NNX
nayngyongngul	nayngyong/NNC+ngul/PCA
keysihan	keysi/NNC+ha/XSV+ngun/EAN
10	10/NNU
kenkwa	ken/NNX+kwa/PCJ
lingkhusangithu	lingkhu/NNC+sangithu/NNC
mich	mich/ADC
thalpepkwangko	thalpep/NNC+kwangko/NNC
kak	kak/DAN
1	1/NNU
ken	ken/NNX
tung	tung/NNX
12	12/NNU
kennguy	ken/NNX+nguy/PAN
hompheyngicilul	hompheyngici/NNC+ngul/PCA
sakceytholok	sakcey/NNC+ha/XSV+tolok/ECS
haytang	haytang/NNC
senkwanngwingey	senkwanngwi/NNC+ngey/PAD
thongpohayssta	thongpo/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
tto	tto/ADV
chongsenngyentay	chongsen/NNC+ngyentay/NNC
tung	tung/NNX
simintancheynguy	simin/NNC+tanchey/NNC+nguy/PAN
senkengwuntongkwa	senke/NNC+ngwuntong/NNC+kwa/PAD
kwanlyen	kwanlyen/NNC
,	,/SCM
kayceng	kayceng/NNC
senkepepngi	senkepep/NNC+ngi/PCA
hwakcengtway	hwakceng/NNC+toy/XSV+nge/ECS
senkengwuntongnguy	senke/NNC+ngwuntong/NNC+nguy/PAN
pangpepkwa	pangpep/NNC+kwa/PCJ
hankyeyka	hankyey/NNC+ngi/PCA
cenghaycin	cengha/VV+nge/ECS+ci/VX+ngun/EAN
mankhum	mankhum/NNX
peptheytwulilul	pep/NNC+theytwuli/NNC+ngul/PCA
pesngena	pesngena/VV+nge/ECS
ciphoy	ciphoy/NNC
,	,/SCM
semyengngwuntong	semyeng/NNC+ngwuntong/NNC
tungngul	tung/NNX+ngul/PCA
kanghaynghanun	kanghayng/NNC+ha/XSV+nun/EAN
tung	tung/NNX
cocikcekngulo	cocik/NNC+cek/XSF+ngulo/PAD
pwulpokcongngwuntongngul	pwulpokcong/NNC+ngwuntong/NNC+ngul/PCA
pelngil	pelngi/VV+ngul/EAN
kyengngwu	kyengngwu/NNC
sapepchelikhilo	sapep/NNC+cheli/NNC+ha/XSV+ki/ENM+ngulo/PAD
hayssta	ha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
hanphyen	hanphyen/ADC
kemchaltansokkyelkwa	kemchal/NNC+tansok/NNC+kyelkwa/NNC
ngipen	ngipen/NNC
chongsenngun	chongsen/NNC+ngun/PAU
sasang	sasang/NNC
ngyulyeyngepsnun	ngyulyey/NNC+ngeps/VJ+nun/EAN
kwangyel	kwangyel/NNC
,	,/SCM
honthakngyangsangngul	honthak/NNC+ngyangsang/NNC+ngul/PCA
pongiko	pongi/VV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
kesngulo	kes/NNX+ngulo/PAD
tulenassta	tulena/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
kemchalngun	kemchal/NNC+ngun/PAU
nginalkkaci	nginal/NNC+kkaci/PAU
chong	chong/DAN
267	267/NNU
myengnguy	myeng/NNX+nguy/PAN
senkesapemngul	senke/NNC+sapem/NNC+ngul/PCA
ngipken	ngipken/NNC
,	,/SCM
ngitul	ngi/NPN+tul/XSF
cwung	cwung/NNX
2	2/NNU
myengngul	myeng/NNX+ngul/PCA
kwusokkisohako	kwusok/NNC+kiso/NNC+ha/XSV+ko/ECS
12	12/NNU
myengngul	myeng/NNX+ngul/PCA
pwulkwusokkisohayssngumye	pwulkwusok/NNC+kiso/NNC+ha/XSV+ngess/EPF+ngumye/ECS
ngipkenca	ngipkenca/ADV
swulo	swu/NNC+ngulo/PAD
pikyohamyen	pikyo/NNC+ha/XSV+ngumyen/ECS
cinan	cinan/DAN
15	15/NNU
tay	tay/NNX
chongsen	chongsen/NNC
kathngun	kath/VJ+ngun/EAN
kikannguy	kikan/NNC+nguy/PAN
164	164/NNU
myengngey	myeng/NNX+ngey/PAD
pihay	piha/VV+nge/ECS
62.8	62.8/NNU
pheseynthuna	pheseynthu/NNX+ngina/PAU
kupcunghayssta	kupcung/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngyuhyengpyellonun	ngyuhyeng/NNC+pyel/XSF+ngulo/PAD+ngun/PAU
kumcensenke	kumcen/NNC+senke/NNC
80	80/NNU
myeng	myeng/NNX
huksayksencen	huksayk/NNC+sencen/NNC
62	62/NNU
myeng	myeng/NNX
pwulpepsencen	pwulpep/NNC+sencen/NNC
58	58/NNU
myeng	myeng/NNX
senkephoklyek	senke/NNC+phoklyek/NNC
3	3/NNU
myeng	myeng/NNX
sinmwunpangsong	sinmwun/NNC+pangsong/NNC
pwucengngingyong	pwuceng/NNC+ngingyong/NNC
7	7/NNU
myeng	myeng/NNX
kitha	kitha/NNC
50	50/NNU
myeng	myeng/NNX
tungngimye	tung/NNX+ngi/CO+ngumye/ECS
cengtangpyellonun	cengtang/NNC+pyel/XSF+ngulo/PAD+ngun/PAU
mincwutang	mincwutang/NPR
57	57/NNU
myeng	myeng/NNX
caminlyen	caminlyen/NPR
38	38/NNU
myeng	myeng/NNX
hannalatang	hannalatang/NPR
37	37/NNU
myeng	myeng/NNX
mwusosok	mwusosok/NNC
kitha	kitha/NNC
135	135/NNU
myeng	myeng/NNX
tungngita	tung/NNX+ngi/CO+ta/EFN
.	./SFN
^EOS
kemchalngun	kemchal/NNC+ngun/PAU
tto	tto/ADV
ngitulkwa	ngi/NPN+tul/XSF+kwa/PAD
pyeltolo	pyelto/NNC+ngulo/PAD
270	270/NNU
myengngul	myeng/NNX+ngul/PCA
naysacwungngita	naysa/NNC+cwung/NNX+ngi/CO+ta/EFN
.	./SFN
^EOS
kemchalngun	kemchal/NNC+ngun/PAU
nginal	nginal/NNC
hoynguyngey	hoynguy/NNC+ngey/PAD
ngaphse	ngaphse/ADV
taykem	taykem/NNC
3	3/NNU
chungngeyse	chung/NNX+ngeyse/PAD
senkesanghwangsil	senke/NNC+sanghwangsil/NNC
hyenphansikngul	hyenphan/NNC+sik/XSF+ngul/PCA
kacko	kac/VV+ko/ECS
24	24/NNU
sikan	sikan/NNX
senkesapem	senke/NNC+sapem/NNC
tansok	tansok/NNC
mich	mich/ADC
swusacihwi	swusa/NNC+cihwi/NNC
cheyceylul	cheycey/NNC+ngul/PCA
kwuchwuk	kwuchwuk/NNC
,	,/SCM
thukpyelkunmwungey	thukpyel/NNC+kunmwu/NNC+ngey/PAD
tulngekassta	tulngeka/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngicengpin	ngicengpin/NPR
ngoykyothongsangpwu	ngoykyothongsangpwu/NPR
cangkwankwa	cangkwan/NNC+kwa/PCJ
ngwipeylu	ngwipeylu/NPR
peytulin	peytulin/NPR
phulangsu	phulangsu/NPR
ngoymwucangkwanngi	ngoymwu/NNC+cangkwan/NNC+ngi/PCA
6	6/NNU
ngil	ngil/NNX
phalingeyse	phali/NPR+ngeyse/PAD
han	han/NPR
,	,/SCM
pwul	pwul/NPR
kwunsapimilpohohyepcengngey	kwunsa/NNC+pimil/NNC+poho/NNC+hyepceng/NNC+ngey/PAD
semyenghantako	semyeng/NNC+ha/XSV+nunta/EFN+ko/PAD
ngoykyopwuka	ngoykyopwu/NPR+ngi/PCA
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngoykyopwu	ngoykyopwu/NPR
kwankyeycanun	kwankyeyca/NNC+ngun/PAU
"^LQ	"/SLQ
kwunsapimilpohohyepcengngun	kwunsa/NNC+pimil/NNC+poho/NNC+hyepceng/NNC+ngun/PAU
ngyangkwukkanngey	ngyangkwuk/NNC+kan/XSF+ngey/PAD
kyohwantoynun	kyohwan/NNC+toy/XSV+nun/EAN
kwunsapimil	kwunsa/NNC+pimil/NNC
poholul	poho/NNC+ngul/PCA
ngwihay	ngwiha/VV+nge/ECS
ngyangkwuk	ngyangkwuk/NNC
cengpwuka	cengpwu/NNC+ngi/PCA
kwuknay	kwuknay/NNC
peplyengngey	peplyeng/NNC+ngey/PAD
ttala	ttalu/VV+nge/ECS
philngyohan	philngyo/NNC+ha/XSJ+ngun/EAN
cochilul	cochi/NNC+ngul/PCA
chwihatolok	chwiha/VV+tolok/ECS
kyucenghanun	kyuceng/NNC+ha/XSV+nun/EAN
tung	tung/NNX
kwunkimil	kwun/NNC+kimil/NNC
poholul	poho/NNC+ngul/PCA
ngwihan	ngwiha/VV+ngun/EAN
pepcek	pep/NNC+cek/XSF
kicholul	kicho/NNC+ngul/PCA
malyenhako	malyen/NNC+ha/XSV+ko/ECS
ngissta	ngiss/VX+ta/EFN
"^RQ	"/SRQ
myense	myense/ECS
"^LQ	"/SLQ
ngipen	ngipen/NNC
hyepceng	hyepceng/NNC
cheykyello	cheykyel/NNC+ngulo/PAD
kwunsa	kwunsa/NNC
mich	mich/ADC
pangngwisanngep	pangngwi/NNC+sanngep/NNC
pwunngyangeyse	pwunngya/NNC+ngeyse/PAD
ngyangkwukkan	ngyangkwuk/NNC+kan/XSF
hyeplyekngi	hyeplyek/NNC+ngi/PCA
tengwuk	tengwuk/ADV
cungcintoyl	cungcin/NNC+toy/XSV+ngul/EAN
kesngulo	kes/NNX+ngulo/PAD
kitaytoynta	kitay/NNC+toy/XSV+nunta/EFN
"^RQ	"/SRQ
ko	ko/PAD
malhayssta	malha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
hankwukngun	hankwuk/NPR+ngun/PAU
cikumkkaci	cikum/NNC+kkaci/PAU
mikwuk	mikwuk/NPR
,	,/SCM
khaynata	khaynata/NPR
tung	tung/NNX
seykyey	seykyey/NNC
11	11/NNU
kaykwukkwa	kaykwuk/NNX+kwa/PAD
kwunsapimilpohohyepcengngul	kwunsa/NNC+pimil/NNC+poho/NNC+hyepceng/NNC+ngul/PCA
cheykyelhayssta	cheykyel/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
han	han/NPR
,	,/SCM
ngil	ngil/NPR
phulongyakwulul	phulongyakwu/NNC+ngul/PCA
holyenghayssten	holyeng/NNC+ha/XSV+ngess/EPF+ten/EAN
`^LQ	`/SLQ
kwukpokup	kwukpo/NNC+kup/XSF
thwuswu	thwuswu/NNC
'^RQ	'/SRQ
sentongngyel	sentongngyel/NPR
(	(/SLQ
36	36/NNU
)	)/SRQ
ngi	ngi/PCA
hyenngyek	hyenngyek/NNC
ngyuniphomngul	ngyuniphom/NNC+ngul/PCA
ngipko	ngip/VV+ko/ECS
macimakngulo	macimak/NNC+ngulo/PAD
mangwuntungey	mangwuntu/NNC+ngey/PAD
ngolla	ngolu/VV+nge/ECS
ngyakwuphayntulngeykey	ngyakwu/NNC+phayn/NNC+tul/XSF+ngeykey/PAD
cakpyelnginsalul	cakpyel/NNC+nginsa/NNC+ngul/PCA
hanta	ha/VV+nunta/EFN
.	./SFN
^EOS
sentongngyelngun	sentongngyel/NPR+ngun/PAU
9	9/NNU
ngil	ngil/NNX
ngohwu	ngohwu/NNC
1	1/NNU
si	si/NNX
ngilpon	ngilpon/NPR
nakongyatomngeyse	nakongya/NPR+tom/NNC+ngeyse/PAD
ngyellinun	ngyelli/VV+nun/EAN
ngilpon	ngilpon/NPR
phulongyakwu	phulongyakwu/NNC
cwunichi	cwunichi/NPR
tulaykonsungwa	tulaykonsu/NPR+kwa/PCJ
ngyomingwuli	ngyomingwuli/NPR
cangingenchungwanguy	cangingenchu/NPR+kwa/PAD+nguy/PAN
sipemkyengkingey	sipem/NNC+kyengki/NNC+ngey/PAD
tungphanhay	tungphan/NNC+ha/XSV+nge/ECS
ngunthoysikngul	ngunthoy/NNC+sik/XSF+ngul/PCA
chilul	chilu/VV+ngul/EAN
ngyeycengngita	ngyeyceng/NNC+ngi/CO+ta/EFN
.	./SFN
^EOS
hankwuk	hankwuk/NPR
phulongyakwungeyse	phulongyakwu/NNC+ngeyse/PAD
11	11/NNU
nyen	nyen/NNX
,	,/SCM
ngilponngeyse	ngilpon/NPR+ngeyse/PAD
4	4/NNU
nyentongngan	nyen/NNX+tongngan/NNC
choycengsangkup	choycengsangkup/NNC
thwuswulo	thwuswu/NNC+ngulo/PAD
hwaltonghayssten	hwaltong/NNC+ha/XSV+ngess/EPF+ten/EAN
sentongngyelngun	sentongngyel/NPR+ngun/PAU
cinan	cinan/DAN
sicunngi	sicun/NNC+ngi/PCA
kkuthnan	kkuthna/VV+ngun/EAN
twi	twi/NNC
canguypan	canguy/NNC+pan/NNC
thanguypanngulo	thanguy/NNC+pan/NNC+ngulo/PAD
ngunthoylul	ngunthoy/NNC+ngul/PCA
senngenhayssta	senngen/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
casinngun	casin/NNC+ngun/PAU
1	1/NNU
nyen	nyen/NNX
te	te/ADV
senswu	senswu/NNC
saynghwalngul	saynghwal/NNC+ngul/PCA
ngyencanghakeysstanun	ngyencang/NNC+ha/XSV+keyss/EPF+ta/EFN+nun/EAN
ttusngul	ttus/NNC+ngul/PCA
pongyessciman	pongi/VV+ngess/EPF+ci/EFN+man/PAU
sosok	sosok/NNC
thim	thim/NNC
cwunichika	cwunichi/NPR+ngi/PCA
caykyeyngyakngey	caykyeyngyak/NNC+ngey/PAD
sikhuntwunghan	sikhuntwung/NNC+ha/XSJ+ngun/EAN
panngungngul	panngung/NNC+ngul/PCA
pongica	pongi/VV+ca/ECS
milyenngepsngi	milyen/NNC+ngepsngi/ADV
ngyuniphomngul	ngyuniphom/NNC+ngul/PCA
pesngessta	pes/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
selun	selun/NNU
cwungpanngul	cwungpan/NNC+ngul/PCA
nemngesen	nemngese/VV+ngun/EAN
nangingeyto	nangi/NNC+ngey/PAD+to/PAU
ngacik	ngacik/ADV
150KMnguy	150/NNU+KM/NFW+nguy/PAN
kangsokkwulul	kangsokkwu/NNC+ngul/PCA
ppwulinun	ppwuli/VV+nun/EAN
sentongngyelnguy	sentongngyel/NPR+nguy/PAN
ngunthoysosikngi	ngunthoy/NNC+sosik/NNC+ngi/PCA
cenhaycica	cenha/VV+nge/ECS+ci/VX+ca/ECS
meyngiceliku	meyngiceliku/NPR
posuthen	posuthen/NPR
leytusaksungeyse	leytusaksu/NPR+ngeyse/PAD
sukhangwuthu	sukhangwuthu/NNC
ngwumcikngimngul	ngwumcikngi/VV+ngum/ENM+ngul/PCA
pongye	pongi/VV+nge/ECS
sentongngyelngun	sentongngyel/NPR+ngun/PAU
camsi	camsi/ADV
huntullikito	huntulli/VV+ki/ENM+to/PAU
hayssciman	ha/VX+ngess/EPF+ci/EFN+man/PAU
kkuthnay	kkuthnay/ADV
casinnguy	casin/NNC+nguy/PAN
ngunthoy	ngunthoy/NNC
kyelsimngul	kyelsim/NNC+ngul/PCA
pakkwuci	pakkwu/VV+ci/ECS
nganhngassta	nganh/VX+ngess/EPF+ta/EFN
.	./SFN
^EOS
ttohan	ttohan/ADC
cwunichilul	cwunichi/NPR+ngul/PCA
piloshay	pilos/NNC+ha/XSV+nge/ECS
kwuknay	kwuknay/NNC
ngyele	ngyele/DAN
kwutantulngun	kwutan/NNC+tul/XSF+ngun/PAU
phwungpwuhan	phwungpwu/NNC+ha/XSJ+ngun/EAN
kyenghemngul	kyenghem/NNC+ngul/PCA
cinin	cini/VV+ngun/EAN
sentongngyelngul	sentongngyel/NPR+ngul/PCA
citocalo	citoca/NNC+ngulo/PAD
ngyengngiphaki	ngyengngip/NNC+ha/XSV+ki/ENM
ngwihay	ngwiha/VV+nge/ECS
mwulmith	mwulmith/NNC
kyengcayngngul	kyengcayng/NNC+ngul/PCA
pelngikito	pelngi/VV+ki/ENM+to/PAU
hayssnguna	ha/VX+ngess/EPF+nguna/ECS
ponnginngun	ponngin/NNC+ngun/PAU
ngol	ngol/NNC
han	han/NNU
haytongngan	hay/NNX+tongngan/NNX
kacoktulkwa	kacok/NNC+tul/XSF+kwa/PAD
ponaymye	ponay/VV+ngumye/ECS
saylongwun	saylop/VJ+ngun/EAN
nginsayngngul	nginsayng/NNC+ngul/PCA
selkyeyhal	selkyey/NNC+ha/XSV+ngul/EAN
kyeyhoykngita	kyeyhoyk/NNC+ngi/CO+ta/EFN
.	./SFN
^EOS
1	1/NNU
ngwel	ngwel/NNX
27	27/NNU
ngil	ngil/NNX
4	4/NNU
nyentongngannguy	nyen/NNX+tongngan/NNC+nguy/PAN
ngilpon	ngilpon/NPR
saynghwalngul	saynghwal/NNC+ngul/PCA
cenglihako	cengli/NNC+ha/XSV+ko/ECS
kacoktulkwa	kacok/NNC+tul/XSF+kwa/PAD
hamkkey	hamkkey/ADV
ngyengkwu	ngyengkwu/NNC
kwikwukhay	kwikwuk/NNC+ha/XSV+nge/ECS
sengwulngey	sengwul/NPR+ngey/PAD
saylongwun	saylop/VJ+ngun/EAN
pokumcalilul	pokumcali/NNC+ngul/PCA
thun	thul/VV+ngun/EAN
sentongngyelngun	sentongngyel/NPR+ngun/PAU
2	2/NNU
ngwel	ngwel/NNX
18	18/NNU
ngil	ngil/NNX
cengpwulopwuthe	cengpwu/NNC+ngulopwuthe/PAD
cheyngyukhwuncang	cheyngyuk/NNC+hwuncang/NNC
maynghocangngul	maynghocang/NPR+ngul/PCA
patngassta	pat/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
sentongngyelngun	sentongngyel/NPR+ngun/PAU
hwuncang	hwuncang/NNC
swungyesikngi	swungyesik/NNC+ngi/PCA
kkuthnan	kkuthna/VV+ngun/EAN
twi	twi/NNC
kotpalo	kotpalo/ADV
cwunichinguy	cwunichi/NPR+nguy/PAN
suphuling	suphuling/NNC
khaymphuka	khaymphu/NNC+ngi/PCA
ngyellinun	ngyelli/VV+nun/EAN
ngokhinangwalo	ngokhinangwa/NPR+ngulo/PAD
nalngaka	nalngaka/VV+nge/ECS
macimak	macimak/NNC
kyengkingey	kyengki/NNC+ngey/PAD
taypihan	taypi/NNC+ha/XSV+ngun/EAN
hwunlyenngul	hwunlyen/NNC+ngul/PCA
sicak	sicak/NNC
,	,/SCM
chelcehan	chelce/NNC+ha/XSJ+ngun/EAN
phulocengsinngul	phulo/NNC+cengsin/NNC+ngul/PCA
silchenhayssta	silchen/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
kwuknay	kwuknay/NNC
senswuciman	senswu/NNC+ngi/CO+ci/EFN+man/PAU
ngilponngeyse	ngilpon/NPR+ngeyse/PAD
ngunthoykyengkilul	ngunthoy/NNC+kyengki/NNC+ngul/PCA
kackey	kac/VV+key/ECS
toyn	toy/VX+ngun/EAN
sentongngyelngi	sentongngyel/NPR+ngi/PCA
nakongyatom	nakongyatom/NPR
mangwuntungeyse	mangwuntu/NNC+ngeyse/PAD
tencinun	tenci/VV+nun/EAN
macimak	macimak/NNC
thwukwunun	thwukwu/NNC+ngun/PAU
han	han/NPR
,	,/SCM
ngil	ngil/NPR
ngyangkwuknguy	ngyangkwuk/NNC+nguy/PAN
ngyakwuphayntul	ngyakwu/NNC+phayn/NNC+tul/XSF
kingeksokngey	kingek/NNC+sok/NNC+ngey/PAD
ngyengngwenhi	ngyengngwenhi/ADV
salngangissngul	sal/VV+nge/ECS+ngiss/VX+ngul/EAN
kesngita	kes/NNX+ngi/CO+ta/EFN
.	./SFN
^EOS
mingyanmaka	mingyanma/NPR+ngi/PCA
ngaseyngan	ngaseyngan/NPR
(	(/SLQ
tongnamnga	tongnamnga/NPR
kwukkangyenhap	kwukkangyenhap/NPR
)	)/SRQ
kwa	kwa/PCJ
tongngasingakannguy	tongngasinga/NPR+kan/XSF+nguy/PAN
kyengceythwucahyeplyek	kyengcey/NNC+thwuca/NNC+hyeplyek/NNC
cungcinngul	cungcin/NNC+ngul/PCA
ngwihay	ngwiha/VV+nge/ECS
ngonun	ngonun/DAN
5	5/NNU
ngwelcho	ngwel/NNX+cho/NNX
ngaseyngan	ngaseyngan/NPR
-	-/SSY
tongngasinga	tongngasinga/NPR
thukpyelkyengceycangkwanhoynguylul	thukpyel/NNC+kyengcey/NNC+cangkwan/NNC+hoynguy/NNC+ngul/PCA
kaychoyhal	kaychoy/NNC+ha/XSV+ngul/EAN
kesngilako	kes/NNX+ngi/CO+la/EFN+ko/PAD
thaykwuknguy	thaykwuk/NPR+nguy/PAN
ngyengcaci	ngyengca/NNC+ci/XSF
neyngisyenngi	neyngisyen/NPR+ngi/PCA
6	6/NNU
ngil	ngil/NNX
cengthonghan	cengthong/NNC+ha/XSV+ngun/EAN
ngoykyososikthongtulngul	ngoykyo/NNC+sosikthong/NNC+tul/XSF+ngul/PCA
nginngyong	nginngyong/NNC
potohayssta	poto/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngonun	ngonun/DAN
5	5/NNU
ngwel	ngwel/NNX
1-2	1/NNU+-/SSY+2/NNU
ngil	ngil/NNX
ngyangkonngeyse	ngyangkon/NPR+ngeyse/PAD
ngyellil	ngyelli/VV+ngul/EAN
ngi	ngi/DAN
thukpyelhoynguyngeynun	thukpyel/NNC+hoynguy/NNC+ngey/PAD+ngun/PAU
ngaseyngan	ngaseyngan/NPR
10	10/NNU
kaykwukkwa	kaykwuk/NNX+kwa/PCJ
han	han/NPR
,	,/SCM
cwung	cwung/NPR
,	,/SCM
ngil	ngil/NPR
3	3/NNU
kwukngi	kwuk/NNX+ngi/PCA
chamkahal	chamka/NNC+ha/XSV+ngul/EAN
kesngilako	kes/NNX+ngi/CO+la/EFN+ko/PAD
ngi	ngi/DAN
sosikthongngun	sosikthong/NNC+ngun/PAU
malhayssta	malha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
sosikthongngun	sosikthong/NNC+ngun/PAU
"^LQ	"/SLQ
ngipen	ngipen/NNC
hoynguynun	hoynguy/NNC+ngun/PAU
mingyanmaka	mingyanma/NPR+ngi/PCA
cinan	cinan/DAN
1997	1997/NNU
nyen	nyen/NNX
ngaseyngan	ngasingan/NPR
hoyngwenkwukngi	hoyngwenkwuk/NNC+ngi/PCA
toyn	toy/VV+ngun/EAN
ngilay	ngilay/NNC
chengumngulo	chengum/NNC+ngulo/PAD
cwuchoyhanun	cwuchoy/NNC+ha/XSV+nun/EAN
hoynguyka	hoynguy/NNC+ngi/PCA
toyl	toy/VV+ngul/EAN
kes	kes/NNX
"^RQ	"/SRQ
ngilako	ngi/CO+la/EFN+ko/PAD
selmyenghayssta	selmyeng/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngi	ngi/DAN
hoynguynun	hoynguy/NNC+ngun/PAU
cinanhay	cinanhay/NNC
11	11/NNU
ngwel	ngwel/NNX
manilla	manilla/NPR
pikongsik	pikongsik/NNC
ngaseyngan	ngaseyngan/NPR
cengsanghoytamnguy	cengsang/NNC+hoytam/NNC+nguy/PAN
hwusokhoynguyka	hwusok/NNC+hoynguy/NNC+ngi/PCA
